time:1150938620674Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777545279609Acc:[0.48692322, 5.1607056, 8.112747]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777608847724Acc:[0.6305847, 5.242111, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777672415840Acc:[0.18525696, 5.055359, 9.247604]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777736044990Acc:[-0.18824768, 4.8590393, 9.003403]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777799643623Acc:[0.5731201, 3.8630524, 8.740036]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777863211738Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3777913565742Acc:[0.6114197, 3.7337646, 8.931564]Gyro:nullMag:nullPre:nullrot:[0.2562229, -0.05812594, -0.16896443, 0.94995904, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778719229805Acc:[0.22834778, 4.1359863, 8.519775]Gyro:[0.041244507, 0.0020751953, -0.006576538]Mag:[-18.38684, 30.056763, -54.789734]Pre:nullrot:[0.20881017, -0.05853969, -0.16870116, 0.9615151, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778753470527Acc:[0.2953949, 4.0928955, 9.204514]Gyro:[0.041244507, 0.0020751953, -0.006576538]Mag:[-18.38684, 30.056763, -54.789734]Pre:nullrot:[0.20881017, -0.05853969, -0.16870116, 0.9615151, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778817038642Acc:[0.34806824, 4.1168365, 8.945938]Gyro:[0.041244507, 0.0020751953, -0.006576538]Mag:[-18.38684, 30.056763, -54.789734]Pre:nullrot:[0.20881017, -0.05853969, -0.16870116, 0.9615151, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778880606758Acc:[0.3863678, 4.145569, 8.926788]Gyro:[0.041244507, 0.0020751953, -0.006576538]Mag:[-18.38684, 30.056763, -54.789734]Pre:nullrot:[0.20881017, -0.05853969, -0.16870116, 0.9615151, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778920676338Acc:[0.3863678, 4.145569, 8.926788]Gyro:[0.041244507, 0.0020751953, -0.006576538]Mag:[-18.461609, 30.206299, -54.115295]Pre:nullrot:[0.20881017, -0.05853969, -0.16870116, 0.9615151, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778920676338Acc:[0.3863678, 4.145569, 8.926788]Gyro:[0.041244507, 0.0020751953, -0.006576538]Mag:[-18.461609, 30.206299, -54.115295]Pre:nullrot:[0.2085588, -0.054304518, -0.17321536, 0.96101546, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778920676338Acc:[0.3863678, 4.145569, 8.926788]Gyro:[0.05329895, 0.002609253, -0.006134033]Mag:[-18.461609, 30.206299, -54.115295]Pre:nullrot:[0.2085588, -0.054304518, -0.17321536, 0.96101546, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3778944235908Acc:[0.20440674, 4.3418884, 8.514984]Gyro:[0.05329895, 0.002609253, -0.006134033]Mag:[-18.461609, 30.206299, -54.115295]Pre:nullrot:[0.2085588, -0.054304518, -0.17321536, 0.96101546, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779007804023Acc:[0.13737488, 4.351471, 8.850159]Gyro:[0.05329895, 0.002609253, -0.006134033]Mag:[-18.461609, 30.206299, -54.115295]Pre:nullrot:[0.2085588, -0.054304518, -0.17321536, 0.96101546, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3779071402656Acc:[0.209198, 4.289215, 8.826218]Gyro:[0.05329895, 0.002609253, -0.006134033]Mag:[-18.461609, 30.206299, -54.115295]Pre:nullrot:[0.2085588, -0.054304518, -0.17321536, 0.96101546, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
