time:77186858525442Acc:[0.0655365, 2.4792023, 9.582794]Gyro:[-0.06549072, -0.030654907, -0.07032776]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12561005, 0.0041860854, 0.10267694, 0.98674315, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186932164358Acc:[0.060760498, 2.5749664, 9.453506]Gyro:[-0.06549072, -0.030654907, -0.07032776]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12561005, 0.0041860854, 0.10267694, 0.98674315, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77186995762991Acc:[0.046401978, 2.5797577, 9.534912]Gyro:[-0.06549072, -0.030654907, -0.07032776]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12561005, 0.0041860854, 0.10267694, 0.98674315, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187059361624Acc:[-0.015853882, 2.522293, 9.563629]Gyro:[-0.06549072, -0.030654907, -0.07032776]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12561005, 0.0041860854, 0.10267694, 0.98674315, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187059941458Acc:[-0.015853882, 2.522293, 9.563629]Gyro:[-0.06549072, -0.030654907, -0.07032776]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12695818, 0.0058695995, 0.10005421, 0.9868314, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187059941458Acc:[-0.015853882, 2.522293, 9.563629]Gyro:[-0.066207886, -0.033355713, -0.07354736]Mag:[7.1884155, 32.380676, -15.864563]Pre:nullrot:[0.12695818, 0.0058695995, 0.10005421, 0.9868314, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187059941458Acc:[-0.015853882, 2.522293, 9.563629]Gyro:[-0.066207886, -0.033355713, -0.07354736]Mag:[6.9641113, 32.23114, -15.638733]Pre:nullrot:[0.12695818, 0.0058695995, 0.10005421, 0.9868314, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187122929739Acc:[-0.09246826, 2.5989075, 9.396042]Gyro:[-0.066207886, -0.033355713, -0.07354736]Mag:[6.9641113, 32.23114, -15.638733]Pre:nullrot:[0.12695818, 0.0058695995, 0.10005421, 0.9868314, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187185979056Acc:[-0.09725952, 2.613266, 9.362534]Gyro:[-0.066207886, -0.033355713, -0.07354736]Mag:[6.9641113, 32.23114, -15.638733]Pre:nullrot:[0.12695818, 0.0058695995, 0.10005421, 0.9868314, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187250096487Acc:[-0.082901, 2.5749664, 9.544479]Gyro:[-0.066207886, -0.033355713, -0.07354736]Mag:[6.9641113, 32.23114, -15.638733]Pre:nullrot:[0.12695818, 0.0058695995, 0.10005421, 0.9868314, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187261357473Acc:[-0.082901, 2.5749664, 9.544479]Gyro:[-0.066207886, -0.033355713, -0.07354736]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.12695818, 0.0058695995, 0.10005421, 0.9868314, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187261357473Acc:[-0.082901, 2.5749664, 9.544479]Gyro:[-0.066207886, -0.033355713, -0.07354736]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.12972869, 0.01154008, 0.097828954, 0.9866442, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187261357473Acc:[-0.082901, 2.5749664, 9.544479]Gyro:[-0.06561279, -0.0362854, -0.07897949]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.12972869, 0.01154008, 0.097828954, 0.9866442, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187313664602Acc:[-0.19781494, 2.680313, 9.453506]Gyro:[-0.06561279, -0.0362854, -0.07897949]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.12972869, 0.01154008, 0.097828954, 0.9866442, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:77187377263235Acc:[-0.2026062, 2.6659546, 9.429565]Gyro:[-0.06561279, -0.0362854, -0.07897949]Mag:[6.9641113, 32.081604, -15.414429]Pre:nullrot:[0.12972869, 0.01154008, 0.097828954, 0.9866442, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
