time:1662583044057Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740174383168Acc:[0.3241272, 5.23732, 7.9308014]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740238256459Acc:[0.28102112, 5.2947845, 7.902069]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740302129750Acc:[0.13737488, 5.1367645, 9.065643]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740365972524Acc:[0.29060364, 5.1607056, 8.356964]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740429815297Acc:[0.21878052, 5.280411, 8.165421]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740493627553Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1740548131948Acc:[0.27622986, 5.280411, 7.9643097]Gyro:nullMag:[15.513611, -13.218689, -43.914795]Pre:nullrot:nullMot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741387640004Acc:[0.42945862, 5.21817, 8.285126]Gyro:[0.08691406, 0.039901733, 0.1546936]Mag:[15.289307, -12.619019, -43.614197]Pre:nullrot:[0.25032198, 0.11286384, 0.44704172, 0.85132504, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741451482778Acc:[0.4438324, 5.06015, 8.294708]Gyro:[0.08691406, 0.039901733, 0.1546936]Mag:[15.289307, -12.619019, -43.614197]Pre:nullrot:[0.25032198, 0.11286384, 0.44704172, 0.85132504, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741515325551Acc:[0.39115906, 5.1319733, 8.447937]Gyro:[0.08691406, 0.039901733, 0.1546936]Mag:[15.289307, -12.619019, -43.614197]Pre:nullrot:[0.25032198, 0.11286384, 0.44704172, 0.85132504, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741555212026Acc:[0.39115906, 5.1319733, 8.447937]Gyro:[0.08691406, 0.039901733, 0.1546936]Mag:[15.289307, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741555212026Acc:[0.39115906, 5.1319733, 8.447937]Gyro:[0.08691406, 0.039901733, 0.1546936]Mag:[14.463806, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741555212026Acc:[0.39115906, 5.1319733, 8.447937]Gyro:[0.08695984, 0.0393219, 0.15431213]Mag:[14.463806, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741579168325Acc:[0.43424988, 5.103241, 8.43837]Gyro:[0.08695984, 0.0393219, 0.15431213]Mag:[14.463806, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741643011098Acc:[0.34327698, 5.146347, 8.428787]Gyro:[0.08695984, 0.0393219, 0.15431213]Mag:[14.463806, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741706884389Acc:[0.5443878, 5.2564697, 8.443161]Gyro:[0.08695984, 0.0393219, 0.15431213]Mag:[14.463806, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741756628041Acc:[0.5443878, 5.2564697, 8.443161]Gyro:[0.08695984, 0.0393219, 0.15431213]Mag:[14.312744, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741756628041Acc:[0.5443878, 5.2564697, 8.443161]Gyro:[0.08358765, 0.038391113, 0.15190125]Mag:[14.312744, -12.619019, -43.614197]Pre:nullrot:[0.25130507, 0.11157352, 0.44955, 0.8498835, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741756628041Acc:[0.5443878, 5.2564697, 8.443161]Gyro:[0.08358765, 0.038391113, 0.15190125]Mag:[14.312744, -12.619019, -43.614197]Pre:nullrot:[0.24875627, 0.11029651, 0.45719498, 0.84671587, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741770727162Acc:[0.8125458, 5.141556, 7.9595337]Gyro:[0.08358765, 0.038391113, 0.15190125]Mag:[14.312744, -12.619019, -43.614197]Pre:nullrot:[0.24875627, 0.11029651, 0.45719498, 0.84671587, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
time:1741834569936Acc:[0.5156555, 5.261261, 7.9308014]Gyro:[0.08358765, 0.038391113, 0.15190125]Mag:[14.312744, -12.619019, -43.614197]Pre:nullrot:[0.24875627, 0.11029651, 0.45719498, 0.84671587, 0.0]Mot:nullprox:[5.000305, 2.1362305E-4, 0.0]
