time:76880574923009Acc:[-0.38935852, 2.2493591, 9.889252]Gyro:[0.0011444092, 0.010025024, 0.018981934]Mag:[12.588501, 29.980469, -12.939453]Pre:nullrot:[0.118584685, 0.050126065, 0.17438515, 0.9762248, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880605501622Acc:[-0.38935852, 2.2493591, 9.889252]Gyro:[0.0011444092, 0.010025024, 0.018981934]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.118584685, 0.050126065, 0.17438515, 0.9762248, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880605501622Acc:[-0.38935852, 2.2493591, 9.889252]Gyro:[0.0011444092, 0.010025024, 0.018981934]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.118534565, 0.050244473, 0.17536001, 0.97605014, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880605501622Acc:[-0.38935852, 2.2493591, 9.889252]Gyro:[-0.0012664795, 0.013305664, 0.018081665]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.118534565, 0.050244473, 0.17536001, 0.97605014, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880638460606Acc:[-0.5282135, 2.4648285, 9.204514]Gyro:[-0.0012664795, 0.013305664, 0.018081665]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.118534565, 0.050244473, 0.17536001, 0.97605014, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880702059239Acc:[-0.37498474, 2.3690643, 9.592361]Gyro:[-0.0012664795, 0.013305664, 0.018081665]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.118534565, 0.050244473, 0.17536001, 0.97605014, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880765596837Acc:[-0.47555542, 2.4456787, 9.501389]Gyro:[-0.0012664795, 0.013305664, 0.018081665]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.118534565, 0.050244473, 0.17536001, 0.97605014, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880829134435Acc:[-0.41809082, 2.3786316, 9.429565]Gyro:[-0.0012664795, 0.013305664, 0.018081665]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.118534565, 0.050244473, 0.17536001, 0.97605014, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880806551427Acc:[-0.41809082, 2.3786316, 9.429565]Gyro:[-0.0012664795, 0.013305664, 0.018081665]Mag:[12.663269, 29.980469, -13.464355]Pre:nullrot:[0.11838373, 0.046072006, 0.1768783, 0.97600037, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880806551427Acc:[-0.41809082, 2.3786316, 9.429565]Gyro:[-0.0012664795, 0.013305664, 0.018081665]Mag:[12.663269, 29.980469, -13.539124]Pre:nullrot:[0.11838373, 0.046072006, 0.1768783, 0.97600037, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880806551427Acc:[-0.41809082, 2.3786316, 9.429565]Gyro:[-0.007537842, 0.016189575, 0.015365601]Mag:[12.663269, 29.980469, -13.539124]Pre:nullrot:[0.11838373, 0.046072006, 0.1768783, 0.97600037, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880892763585Acc:[-0.5282135, 2.3977966, 9.558853]Gyro:[-0.007537842, 0.016189575, 0.015365601]Mag:[12.663269, 29.980469, -13.539124]Pre:nullrot:[0.11838373, 0.046072006, 0.1768783, 0.97600037, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76880956423253Acc:[-0.48512268, 2.388214, 9.534912]Gyro:[-0.007537842, 0.016189575, 0.015365601]Mag:[12.663269, 29.980469, -13.539124]Pre:nullrot:[0.11838373, 0.046072006, 0.1768783, 0.97600037, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881019899815Acc:[-0.47076416, 2.402588, 9.563644]Gyro:[-0.007537842, 0.016189575, 0.015365601]Mag:[12.663269, 29.980469, -13.539124]Pre:nullrot:[0.11838373, 0.046072006, 0.1768783, 0.97600037, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881008303136Acc:[-0.47076416, 2.402588, 9.563644]Gyro:[-0.007537842, 0.016189575, 0.015365601]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.11838373, 0.046072006, 0.1768783, 0.97600037, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881008303136Acc:[-0.47076416, 2.402588, 9.563644]Gyro:[-0.007537842, 0.016189575, 0.015365601]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.11718418, 0.04551951, 0.17187929, 0.97706366, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881008303136Acc:[-0.47076416, 2.402588, 9.563644]Gyro:[-0.016189575, 0.018295288, 0.01083374]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.11718418, 0.04551951, 0.17187929, 0.97706366, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881083437413Acc:[-0.5234375, 2.4217377, 9.4774475]Gyro:[-0.016189575, 0.018295288, 0.01083374]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.11718418, 0.04551951, 0.17187929, 0.97706366, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881147005528Acc:[-0.47076416, 2.388214, 9.539703]Gyro:[-0.016189575, 0.018295288, 0.01083374]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.11718418, 0.04551951, 0.17187929, 0.97706366, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881210543126Acc:[-0.48991394, 2.388214, 9.453506]Gyro:[-0.016189575, 0.018295288, 0.01083374]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.11718418, 0.04551951, 0.17187929, 0.97706366, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881209749669Acc:[-0.48991394, 2.388214, 9.453506]Gyro:[-0.016189575, 0.018295288, 0.01083374]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.11718418, 0.04551951, 0.17187929, 0.97706366, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
time:76881209749669Acc:[-0.48991394, 2.388214, 9.453506]Gyro:[-0.016189575, 0.018295288, 0.01083374]Mag:[12.138367, 29.980469, -13.91449]Pre:nullrot:[0.117104135, 0.045661032, 0.17010206, 0.9773776, 0.0]Mot:nullprox:[5.000305, 2.2888184E-4, 0.0]
