time:1150938608170Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121581552506Acc:[-0.46118164, 3.7433472, 8.792709]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121645059586Acc:[-0.9065094, 3.2932281, 9.573212]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121708566666Acc:[-0.81552124, 3.3506927, 9.386475]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121772104263Acc:[-0.73890686, 3.628418, 8.826218]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121835641861Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3121901590347Acc:[-0.7197571, 3.4656067, 9.261963]Gyro:nullMag:[-14.63623, 38.08136, -55.314636]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122724924088Acc:[-0.58088684, 3.2549133, 9.271545]Gyro:[-0.016525269, -0.007232666, 8.69751E-4]Mag:[-14.186096, 36.506653, -55.163574]Pre:nullrot:[0.17328377, 0.008719395, -0.15844318, 0.97200435, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122788431168Acc:[-0.88734436, 3.226181, 9.52533]Gyro:[-0.016525269, -0.007232666, 8.69751E-4]Mag:[-14.186096, 36.506653, -55.163574]Pre:nullrot:[0.17328377, 0.008719395, -0.15844318, 0.97200435, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122851968765Acc:[-0.81073, 3.288437, 8.807068]Gyro:[-0.016525269, -0.007232666, 8.69751E-4]Mag:[-14.186096, 36.506653, -55.163574]Pre:nullrot:[0.17328377, 0.008719395, -0.15844318, 0.97200435, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122908700943Acc:[-0.81073, 3.288437, 8.807068]Gyro:[-0.016525269, -0.007232666, 8.69751E-4]Mag:[-14.03656, 36.35559, -55.163574]Pre:nullrot:[0.17328377, 0.008719395, -0.15844318, 0.97200435, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122908700943Acc:[-0.81073, 3.288437, 8.807068]Gyro:[-0.016525269, -0.007232666, 8.69751E-4]Mag:[-14.03656, 36.35559, -55.163574]Pre:nullrot:[0.17119463, 0.0056736735, -0.15588637, 0.9728102, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122908700943Acc:[-0.81073, 3.288437, 8.807068]Gyro:[-0.014907837, -0.006149292, 7.324219E-4]Mag:[-14.03656, 36.35559, -55.163574]Pre:nullrot:[0.17119463, 0.0056736735, -0.15588637, 0.9728102, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122915475845Acc:[-0.8634033, 3.2309723, 9.415192]Gyro:[-0.014907837, -0.006149292, 7.324219E-4]Mag:[-14.03656, 36.35559, -55.163574]Pre:nullrot:[0.17119463, 0.0056736735, -0.15588637, 0.9728102, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3122979013443Acc:[-0.7724304, 3.2740784, 9.333801]Gyro:[-0.014907837, -0.006149292, 7.324219E-4]Mag:[-14.03656, 36.35559, -55.163574]Pre:nullrot:[0.17119463, 0.0056736735, -0.15588637, 0.9728102, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123042551041Acc:[-0.64793396, 3.288437, 9.209305]Gyro:[-0.014907837, -0.006149292, 7.324219E-4]Mag:[-14.03656, 36.35559, -55.163574]Pre:nullrot:[0.17119463, 0.0056736735, -0.15588637, 0.9728102, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:3123110086441Acc:[-0.64793396, 3.288437, 9.209305]Gyro:[-0.014907837, -0.006149292, 7.324219E-4]Mag:[-13.887024, 36.280823, -55.163574]Pre:nullrot:[0.17119463, 0.0056736735, -0.15588637, 0.9728102, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
