time:786650109665108Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787351848465157Acc:[0.48692322, 4.2078094, 8.366531]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787351912216377Acc:[0.3576355, 4.0689545, 9.094376]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787351975998116Acc:[0.1469574, 4.016281, 9.094376]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352039779854Acc:[0.07034302, 3.944458, 9.228455]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352103012276Acc:[0.027236938, 3.8869934, 8.960297]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352167343331Acc:[-0.0062713623, 3.920517, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352177780342Acc:[-0.0062713623, 3.920517, 8.921997]Gyro:nullMag:nullPre:nullrot:[0.19510254, -0.081468046, -0.3105738, 0.92673725, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787352983440990Acc:[0.81733704, 4.0785217, 9.573212]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353060711498Acc:[-0.5234375, 3.700241, 8.447937]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353123974437Acc:[-0.35583496, 3.8055878, 8.735245]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353187756175Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20037842, 0.0010528564, -0.024398804]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353184857005Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.586853, 40.18097, -46.76361]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353184857005Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.17821148, -0.06571927, -0.31334344, 0.9304502, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353184857005Acc:[-0.08288574, 3.877411, 9.654617]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353251537914Acc:[0.09906006, 4.0928955, 8.77356]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353315289134Acc:[-0.09725952, 4.5669403, 8.634689]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353379101390Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.66162, 40.031433, -46.839905]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353386303539Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.18252215, -0.07163092, -0.3090151, 0.9306258, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353386303539Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.20889282, -0.0011138916, -0.008270264]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353386303539Acc:[-0.18345642, 4.6579285, 8.960297]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353442822093Acc:[0.17089844, 4.791992, 7.9978333]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353506786937Acc:[-0.14993286, 4.74411, 9.147049]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353570507640Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.19050229, -0.056124367, -0.31748796, 0.9272326, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353587689037Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 39.430237, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353587689037Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.2214508, 0.0013275146, 0.010543823]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353587689037Acc:[-0.5234375, 4.562149, 8.289917]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353634258861Acc:[0.46298218, 4.758484, 7.5956116]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353698040599Acc:[0.7215576, 4.8829803, 8.376114]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353761791820Acc:[0.6305847, 4.552582, 8.81665]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-40.73639, 37.705994, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353789105052Acc:[0.6305847, 4.552582, 8.81665]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-41.48712, 35.83069, -46.914673]Pre:nullrot:[0.2169651, -0.06841977, -0.3065692, 0.924262, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353789105052Acc:[0.6305847, 4.552582, 8.81665]Gyro:[0.25645447, 0.0037384033, 0.034744263]Mag:[-41.48712, 35.83069, -46.914673]Pre:nullrot:[0.23276672, -0.07107817, -0.30316317, 0.9213358, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353789105052Acc:[0.6305847, 4.552582, 8.81665]Gyro:[0.28100586, 0.0065307617, 0.046722412]Mag:[-41.48712, 35.83069, -46.914673]Pre:nullrot:[0.23276672, -0.07107817, -0.30316317, 0.9213358, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353825298900Acc:[0.52523804, 4.629196, 8.8358]Gyro:[0.28100586, 0.0065307617, 0.046722412]Mag:[-41.48712, 35.83069, -46.914673]Pre:nullrot:[0.23276672, -0.07107817, -0.30316317, 0.9213358, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353889355296Acc:[0.017669678, 4.921295, 8.534134]Gyro:[0.28100586, 0.0065307617, 0.046722412]Mag:[-41.48712, 35.83069, -46.914673]Pre:nullrot:[0.23276672, -0.07107817, -0.30316317, 0.9213358, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353953076000Acc:[-0.1164093, 5.0410004, 8.514969]Gyro:[0.28100586, 0.0065307617, 0.046722412]Mag:[-41.48712, 35.83069, -46.914673]Pre:nullrot:[0.23276672, -0.07107817, -0.30316317, 0.9213358, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354016338939Acc:[0.0320282, 4.8686066, 8.926788]Gyro:[0.28100586, 0.0065307617, 0.046722412]Mag:[-41.48712, 35.83069, -46.914673]Pre:nullrot:[0.23276672, -0.07107817, -0.30316317, 0.9213358, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353991558666Acc:[0.0320282, 4.8686066, 8.926788]Gyro:[0.28100586, 0.0065307617, 0.046722412]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23276672, -0.07107817, -0.30316317, 0.9213358, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353991558666Acc:[0.0320282, 4.8686066, 8.926788]Gyro:[0.28100586, 0.0065307617, 0.046722412]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23938315, -0.08296045, -0.29561597, 0.9210996, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787353991558666Acc:[0.0320282, 4.8686066, 8.926788]Gyro:[0.26394653, 0.0066833496, 0.039871216]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23938315, -0.08296045, -0.29561597, 0.9210996, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354080639476Acc:[0.09428406, 4.782425, 8.43837]Gyro:[0.26394653, 0.0066833496, 0.039871216]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23938315, -0.08296045, -0.29561597, 0.9210996, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354144421214Acc:[-0.1738739, 5.2037964, 7.8685455]Gyro:[0.26394653, 0.0066833496, 0.039871216]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23938315, -0.08296045, -0.29561597, 0.9210996, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354208202953Acc:[-0.19302368, 4.945221, 8.452728]Gyro:[0.26394653, 0.0066833496, 0.039871216]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23938315, -0.08296045, -0.29561597, 0.9210996, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354191937083Acc:[-0.19302368, 4.945221, 8.452728]Gyro:[0.26394653, 0.0066833496, 0.039871216]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23935264, -0.08304842, -0.29595447, 0.9209909, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354191937083Acc:[-0.19302368, 4.945221, 8.452728]Gyro:[0.24221802, 0.0056915283, 0.029968262]Mag:[-42.762756, 36.280823, -47.138977]Pre:nullrot:[0.23935264, -0.08304842, -0.29595447, 0.9209909, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354191937083Acc:[-0.19302368, 4.945221, 8.452728]Gyro:[0.24221802, 0.0056915283, 0.029968262]Mag:[-42.38739, 35.98175, -47.06421]Pre:nullrot:[0.23935264, -0.08304842, -0.29595447, 0.9209909, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354272015208Acc:[-0.14035034, 4.7297516, 8.601166]Gyro:[0.24221802, 0.0056915283, 0.029968262]Mag:[-42.38739, 35.98175, -47.06421]Pre:nullrot:[0.23935264, -0.08304842, -0.29595447, 0.9209909, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354335156078Acc:[-0.04937744, 4.30838, 8.759186]Gyro:[0.24221802, 0.0056915283, 0.029968262]Mag:[-42.38739, 35.98175, -47.06421]Pre:nullrot:[0.23935264, -0.08304842, -0.29595447, 0.9209909, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354399578685Acc:[0.012878418, 3.9348755, 8.979462]Gyro:[0.24221802, 0.0056915283, 0.029968262]Mag:[-42.38739, 35.98175, -47.06421]Pre:nullrot:[0.23935264, -0.08304842, -0.29595447, 0.9209909, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354393383617Acc:[0.012878418, 3.9348755, 8.979462]Gyro:[0.24221802, 0.0056915283, 0.029968262]Mag:[-42.23633, 36.131287, -47.514343]Pre:nullrot:[0.23935264, -0.08304842, -0.29595447, 0.9209909, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354393383617Acc:[0.012878418, 3.9348755, 8.979462]Gyro:[0.24221802, 0.0056915283, 0.029968262]Mag:[-42.23633, 36.131287, -47.514343]Pre:nullrot:[0.24994956, -0.07979603, -0.29770815, 0.91789305, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354393383617Acc:[0.012878418, 3.9348755, 8.979462]Gyro:[0.22302246, 0.004699707, 0.020553589]Mag:[-42.23633, 36.131287, -47.514343]Pre:nullrot:[0.24994956, -0.07979603, -0.29770815, 0.91789305, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354463329906Acc:[0.060760498, 3.6906738, 9.261978]Gyro:[0.22302246, 0.004699707, 0.020553589]Mag:[-42.23633, 36.131287, -47.514343]Pre:nullrot:[0.24994956, -0.07979603, -0.29770815, 0.91789305, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354527111644Acc:[0.0320282, 3.6571503, 9.223663]Gyro:[0.22302246, 0.004699707, 0.020553589]Mag:[-42.23633, 36.131287, -47.514343]Pre:nullrot:[0.24994956, -0.07979603, -0.29770815, 0.91789305, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354590923900Acc:[0.08470154, 3.6140594, 9.252396]Gyro:[0.22302246, 0.004699707, 0.020553589]Mag:[-42.23633, 36.131287, -47.514343]Pre:nullrot:[0.24994956, -0.07979603, -0.29770815, 0.91789305, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354594769115Acc:[0.08470154, 3.6140594, 9.252396]Gyro:[0.22302246, 0.004699707, 0.020553589]Mag:[-42.23633, 38.08136, -47.58911]Pre:nullrot:[0.24994956, -0.07979603, -0.29770815, 0.91789305, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354594769115Acc:[0.08470154, 3.6140594, 9.252396]Gyro:[0.22302246, 0.004699707, 0.020553589]Mag:[-42.23633, 38.08136, -47.58911]Pre:nullrot:[0.22434963, -0.07235174, -0.30591238, 0.9224154, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787354594769115Acc:[0.08470154, 3.6140594, 9.252396]Gyro:[0.20033264, 0.0033416748, 0.0115356445]Mag:[-42.23633, 38.08136, -47.58911]Pre:nullrot:[0.22434963, -0.07235174, -0.30591238, 0.9224154, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
