time:789129340295802Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160878564845Acc:[0.68803406, 5.309143, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789160942316065Acc:[0.53001404, 5.1223907, 8.864532]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161006128321Acc:[0.90830994, 4.782425, 8.687363]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161069940577Acc:[0.7885895, 5.0026855, 8.428787]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161134149562Acc:[0.8699951, 4.8255157, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161197534571Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789161195734034Acc:[0.52523804, 5.404907, 8.572433]Gyro:nullMag:[-45.462036, 35.83069, -33.189392]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162002130519Acc:[0.4725647, 5.558136, 7.9116516]Gyro:[0.007446289, 0.028717041, -0.00340271]Mag:[-41.48712, 33.955383, -45.939636]Pre:nullrot:[0.27104506, -0.1082463, -0.32208204, 0.9006001, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162090631495Acc:[0.28102112, 5.7257385, 7.8493958]Gyro:[0.007446289, 0.028717041, -0.00340271]Mag:[-41.48712, 33.955383, -45.939636]Pre:nullrot:[0.27104506, -0.1082463, -0.32208204, 0.9006001, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162154352198Acc:[-0.0014953613, 5.869385, 7.94516]Gyro:[0.007446289, 0.028717041, -0.00340271]Mag:[-41.48712, 33.955383, -45.939636]Pre:nullrot:[0.27104506, -0.1082463, -0.32208204, 0.9006001, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162218225489Acc:[0.19961548, 5.754471, 7.681793]Gyro:[0.007446289, 0.028717041, -0.00340271]Mag:[-41.48712, 33.955383, -45.939636]Pre:nullrot:[0.27104506, -0.1082463, -0.32208204, 0.9006001, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162202844630Acc:[0.19961548, 5.754471, 7.681793]Gyro:[0.007446289, 0.028717041, -0.00340271]Mag:[-41.48712, 33.955383, -45.939636]Pre:nullrot:[0.2696528, -0.11965056, -0.31602284, 0.90172094, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162202844630Acc:[0.19961548, 5.754471, 7.681793]Gyro:[0.007446289, 0.028717041, -0.00340271]Mag:[-41.48712, 33.65631, -46.089172]Pre:nullrot:[0.2696528, -0.11965056, -0.31602284, 0.90172094, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162202844630Acc:[0.19961548, 5.754471, 7.681793]Gyro:[0.013397217, 0.027252197, 5.493164E-4]Mag:[-41.48712, 33.65631, -46.089172]Pre:nullrot:[0.2696528, -0.11965056, -0.31602284, 0.90172094, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162282007228Acc:[-0.1164093, 5.9029083, 7.62912]Gyro:[0.013397217, 0.027252197, 5.493164E-4]Mag:[-41.48712, 33.65631, -46.089172]Pre:nullrot:[0.2696528, -0.11965056, -0.31602284, 0.90172094, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162345758448Acc:[-0.31274414, 6.0848694, 7.5285645]Gyro:[0.013397217, 0.027252197, 5.493164E-4]Mag:[-41.48712, 33.65631, -46.089172]Pre:nullrot:[0.2696528, -0.11965056, -0.31602284, 0.90172094, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162409540187Acc:[-0.60961914, 6.1997833, 7.5955963]Gyro:[0.013397217, 0.027252197, 5.493164E-4]Mag:[-41.48712, 33.65631, -46.089172]Pre:nullrot:[0.2696528, -0.11965056, -0.31602284, 0.90172094, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162404260646Acc:[-0.60961914, 6.1997833, 7.5955963]Gyro:[0.013397217, 0.027252197, 5.493164E-4]Mag:[-41.48712, 33.65631, -46.089172]Pre:nullrot:[0.28472623, -0.11496174, -0.31764922, 0.8971141, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162404260646Acc:[-0.60961914, 6.1997833, 7.5955963]Gyro:[0.013397217, 0.027252197, 5.493164E-4]Mag:[-40.66162, 32.23114, -46.089172]Pre:nullrot:[0.28472623, -0.11496174, -0.31764922, 0.8971141, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162404260646Acc:[-0.60961914, 6.1997833, 7.5955963]Gyro:[0.020004272, 0.02758789, 0.003036499]Mag:[-40.66162, 32.23114, -46.089172]Pre:nullrot:[0.28472623, -0.11496174, -0.31764922, 0.8971141, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162473382960Acc:[-0.54737854, 6.2524567, 7.5333557]Gyro:[0.020004272, 0.02758789, 0.003036499]Mag:[-40.66162, 32.23114, -46.089172]Pre:nullrot:[0.28472623, -0.11496174, -0.31764922, 0.8971141, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162537134181Acc:[-0.6910248, 6.28598, 7.5572968]Gyro:[0.020004272, 0.02758789, 0.003036499]Mag:[-40.66162, 32.23114, -46.089172]Pre:nullrot:[0.28472623, -0.11496174, -0.31764922, 0.8971141, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162601099024Acc:[-0.44682312, 6.0896606, 7.7344666]Gyro:[0.020004272, 0.02758789, 0.003036499]Mag:[-40.66162, 32.23114, -46.089172]Pre:nullrot:[0.28472623, -0.11496174, -0.31764922, 0.8971141, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162605646144Acc:[-0.44682312, 6.0896606, 7.7344666]Gyro:[0.020004272, 0.02758789, 0.003036499]Mag:[-39.46228, 31.106567, -46.014404]Pre:nullrot:[0.28472623, -0.11496174, -0.31764922, 0.8971141, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162605646144Acc:[-0.44682312, 6.0896606, 7.7344666]Gyro:[0.020004272, 0.02758789, 0.003036499]Mag:[-39.46228, 31.106567, -46.014404]Pre:nullrot:[0.30771676, -0.1019502, -0.32284144, 0.8892075, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:789162605646144Acc:[-0.44682312, 6.0896606, 7.7344666]Gyro:[0.027297974, 0.029052734, 0.006668091]Mag:[-39.46228, 31.106567, -46.014404]Pre:nullrot:[0.30771676, -0.1019502, -0.32284144, 0.8892075, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
