time:790026173115690Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:789900136840266Acc:[0.82211304, 4.1407776, 8.423996]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026237670345Acc:[0.0894928, 4.2365417, 9.089584]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026301421565Acc:[0.4151001, 4.0928955, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026365203304Acc:[0.2953949, 4.265274, 8.85495]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026428954524Acc:[0.28581238, 4.193451, 8.883682]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026492705745Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790026478942317Acc:[0.23313904, 4.1599274, 8.921997]Gyro:nullMag:[-42.762756, 42.356873, -52.464294]Pre:nullrot:nullMot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027487182063Acc:[-0.058944702, 4.423294, 8.931564]Gyro:[0.0132751465, 7.9345703E-4, 0.024490356]Mag:[-39.161682, 39.656067, -53.5141]Pre:nullrot:[0.21713433, -0.080039725, -0.27177995, 0.93412095, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027576476497Acc:[-0.20739746, 4.562149, 8.984238]Gyro:[0.0132751465, 7.9345703E-4, 0.024490356]Mag:[-39.161682, 39.656067, -53.5141]Pre:nullrot:[0.21713433, -0.080039725, -0.27177995, 0.93412095, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027640227718Acc:[-0.5856781, 4.648346, 8.692154]Gyro:[0.0132751465, 7.9345703E-4, 0.024490356]Mag:[-39.161682, 39.656067, -53.5141]Pre:nullrot:[0.21713433, -0.080039725, -0.27177995, 0.93412095, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027703978938Acc:[-0.0014953613, 4.217392, 8.744827]Gyro:[0.0132751465, 7.9345703E-4, 0.024490356]Mag:[-39.161682, 39.656067, -53.5141]Pre:nullrot:[0.21713433, -0.080039725, -0.27177995, 0.93412095, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027687438411Acc:[-0.0014953613, 4.217392, 8.744827]Gyro:[0.0132751465, 7.9345703E-4, 0.024490356]Mag:[-38.337708, 39.205933, -53.364563]Pre:nullrot:[0.21713433, -0.080039725, -0.27177995, 0.93412095, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027687438411Acc:[-0.0014953613, 4.217392, 8.744827]Gyro:[0.0132751465, 7.9345703E-4, 0.024490356]Mag:[-38.337708, 39.205933, -53.364563]Pre:nullrot:[0.22153156, -0.07532976, -0.2744487, 0.93269885, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027687438411Acc:[-0.0014953613, 4.217392, 8.744827]Gyro:[0.024597168, 0.0035858154, 0.032913208]Mag:[-38.337708, 39.205933, -53.364563]Pre:nullrot:[0.22153156, -0.07532976, -0.2744487, 0.93269885, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027767699641Acc:[-0.030227661, 4.399353, 8.826233]Gyro:[0.024597168, 0.0035858154, 0.032913208]Mag:[-38.337708, 39.205933, -53.364563]Pre:nullrot:[0.22153156, -0.07532976, -0.2744487, 0.93269885, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027831450862Acc:[-0.015853882, 4.3658295, 8.840591]Gyro:[0.024597168, 0.0035858154, 0.032913208]Mag:[-38.337708, 39.205933, -53.364563]Pre:nullrot:[0.22153156, -0.07532976, -0.2744487, 0.93269885, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027895232600Acc:[-0.020645142, 4.351471, 8.768768]Gyro:[0.024597168, 0.0035858154, 0.032913208]Mag:[-38.337708, 39.205933, -53.364563]Pre:nullrot:[0.22153156, -0.07532976, -0.2744487, 0.93269885, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027888854427Acc:[-0.020645142, 4.351471, 8.768768]Gyro:[0.024597168, 0.0035858154, 0.032913208]Mag:[-38.337708, 39.205933, -53.364563]Pre:nullrot:[0.22364645, -0.06265883, -0.2825061, 0.9307236, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027888854427Acc:[-0.020645142, 4.351471, 8.768768]Gyro:[0.024597168, 0.0035858154, 0.032913208]Mag:[-36.987305, 38.230896, -52.615356]Pre:nullrot:[0.22364645, -0.06265883, -0.2825061, 0.9307236, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027888854427Acc:[-0.020645142, 4.351471, 8.768768]Gyro:[0.035705566, 0.005645752, 0.035690308]Mag:[-36.987305, 38.230896, -52.615356]Pre:nullrot:[0.22364645, -0.06265883, -0.2825061, 0.9307236, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790027958953304Acc:[-0.10205078, 4.4759674, 8.7304535]Gyro:[0.035705566, 0.005645752, 0.035690308]Mag:[-36.987305, 38.230896, -52.615356]Pre:nullrot:[0.22364645, -0.06265883, -0.2825061, 0.9307236, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028022674007Acc:[-0.06852722, 4.2748566, 9.094376]Gyro:[0.035705566, 0.005645752, 0.035690308]Mag:[-36.987305, 38.230896, -52.615356]Pre:nullrot:[0.22364645, -0.06265883, -0.2825061, 0.9307236, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028086425227Acc:[-0.73890686, 4.0881042, 8.85495]Gyro:[0.035705566, 0.005645752, 0.035690308]Mag:[-36.987305, 38.230896, -52.615356]Pre:nullrot:[0.22364645, -0.06265883, -0.2825061, 0.9307236, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028090270442Acc:[-0.73890686, 4.0881042, 8.85495]Gyro:[0.035705566, 0.005645752, 0.035690308]Mag:[-35.487366, 36.35559, -52.91443]Pre:nullrot:[0.22364645, -0.06265883, -0.2825061, 0.9307236, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
time:790028090270442Acc:[-0.73890686, 4.0881042, 8.85495]Gyro:[0.035705566, 0.005645752, 0.035690308]Mag:[-35.487366, 36.35559, -52.91443]Pre:nullrot:[0.22186045, -0.063687384, -0.28204358, 0.93122137, 0.0]Mot:nullprox:[5.000305, 3.6621094E-4, 0.0]
