time:790281424040770Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790409973692870Acc:[0.5443878, 4.6435547, 8.634689]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410037627196Acc:[0.39115906, 4.76326, 8.313873]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410100829100Acc:[0.27622986, 4.686661, 8.4335785]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410165099120Acc:[-0.039794922, 4.4137115, 8.878906]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410228880858Acc:[-0.087677, 4.380188, 8.921997]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410292632079Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790410277190184Acc:[-0.011062622, 4.552582, 8.510193]Gyro:nullMag:[-39.76288, 31.256104, -50.590515]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411121520018Acc:[-0.28401184, 4.58609, 8.476669]Gyro:[-0.0103302, 0.0047912598, 0.00579834]Mag:[-36.686707, 35.980225, -49.16382]Pre:nullrot:[0.22942227, -0.06287504, -0.30439612, 0.9223639, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411185210204Acc:[-0.25048828, 4.519058, 8.893265]Gyro:[-0.0103302, 0.0047912598, 0.00579834]Mag:[-36.686707, 35.980225, -49.16382]Pre:nullrot:[0.22942227, -0.06287504, -0.30439612, 0.9223639, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411248991942Acc:[-0.23132324, 4.7249603, 8.773544]Gyro:[-0.0103302, 0.0047912598, 0.00579834]Mag:[-36.686707, 35.980225, -49.16382]Pre:nullrot:[0.22942227, -0.06287504, -0.30439612, 0.9223639, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411284239745Acc:[-0.23132324, 4.7249603, 8.773544]Gyro:[-0.0103302, 0.0047912598, 0.00579834]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.22942227, -0.06287504, -0.30439612, 0.9223639, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411284239745Acc:[-0.23132324, 4.7249603, 8.773544]Gyro:[-0.0103302, 0.0047912598, 0.00579834]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23218657, -0.061714925, -0.30474836, 0.92163396, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411284239745Acc:[-0.23132324, 4.7249603, 8.773544]Gyro:[-0.006515503, 0.016082764, 0.0047912598]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23218657, -0.061714925, -0.30474836, 0.92163396, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411312743163Acc:[-0.33668518, 4.9164886, 8.12233]Gyro:[-0.006515503, 0.016082764, 0.0047912598]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23218657, -0.061714925, -0.30474836, 0.92163396, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411376524901Acc:[-1.2416992, 5.0457764, 8.309082]Gyro:[-0.006515503, 0.016082764, 0.0047912598]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23218657, -0.061714925, -0.30474836, 0.92163396, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411440245604Acc:[-1.5768738, 5.5054626, 8.036133]Gyro:[-0.006515503, 0.016082764, 0.0047912598]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23218657, -0.061714925, -0.30474836, 0.92163396, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790411504027342Acc:[-1.2656403, 5.4240723, 7.906845]Gyro:[-0.006515503, 0.016082764, 0.0047912598]Mag:[-36.462402, 35.75592, -49.16382]Pre:nullrot:[0.23218657, -0.061714925, -0.30474836, 0.92163396, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
