time:789291624013381Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295496449904Acc:[0.26187134, 8.344986, 4.928467]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295560231642Acc:[0.19483948, 8.373718, 5.00029]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295624104933Acc:[0.19004822, 8.383301, 4.8518524]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295687886672Acc:[0.28102112, 8.335419, 4.9428253]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295751393752Acc:[0.22355652, 8.368942, 4.9476166]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295815328078Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789295842366652Acc:[0.20440674, 8.3497925, 4.9667664]Gyro:nullMag:[-42.912292, 17.080688, -44.06433]Pre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297282826857Acc:[0.37680054, 8.603561, 4.296402]Gyro:[0.13156128, 0.049575806, -0.0077056885]Mag:[-37.062073, 12.88147, -41.21399]Pre:nullrot:[0.48558277, -0.18423727, -0.3059488, 0.79791063, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297346608595Acc:[0.1182251, 8.780746, 3.9755707]Gyro:[0.13156128, 0.049575806, -0.0077056885]Mag:[-37.062073, 12.88147, -41.21399]Pre:nullrot:[0.48558277, -0.18423727, -0.3059488, 0.79791063, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297410420851Acc:[0.11343384, 8.747223, 4.0330353]Gyro:[0.13156128, 0.049575806, -0.0077056885]Mag:[-37.062073, 12.88147, -41.21399]Pre:nullrot:[0.48558277, -0.18423727, -0.3059488, 0.79791063, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297453633742Acc:[0.11343384, 8.747223, 4.0330353]Gyro:[0.13156128, 0.049575806, -0.0077056885]Mag:[-37.062073, 12.88147, -41.21399]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297453633742Acc:[0.11343384, 8.747223, 4.0330353]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-37.062073, 12.88147, -41.21399]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297453633742Acc:[0.11343384, 8.747223, 4.0330353]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-37.286377, 12.88147, -40.61432]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297474233107Acc:[0.39595032, 8.584412, 4.339493]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-37.286377, 12.88147, -40.61432]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297538014845Acc:[0.3576355, 8.526947, 4.545395]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-37.286377, 12.88147, -40.61432]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297601827101Acc:[-0.07810974, 8.85257, 3.7696686]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-37.286377, 12.88147, -40.61432]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297665151076Acc:[-0.47555542, 9.048889, 3.8127594]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-37.286377, 12.88147, -40.61432]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297656117873Acc:[-0.47555542, 9.048889, 3.8127594]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-36.987305, 12.580872, -40.089417]Pre:nullrot:[0.47706962, -0.19488078, -0.2983711, 0.8033684, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297656117873Acc:[-0.47555542, 9.048889, 3.8127594]Gyro:[0.11791992, 0.043060303, -0.0056610107]Mag:[-36.987305, 12.580872, -40.089417]Pre:nullrot:[0.5036888, -0.19152622, -0.29987884, 0.78720266, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297656117873Acc:[-0.47555542, 9.048889, 3.8127594]Gyro:[0.116256714, 0.038879395, -0.0043182373]Mag:[-36.987305, 12.580872, -40.089417]Pre:nullrot:[0.5036888, -0.19152622, -0.29987884, 0.78720266, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297729146437Acc:[-0.36541748, 9.120712, 3.12323]Gyro:[0.116256714, 0.038879395, -0.0043182373]Mag:[-36.987305, 12.580872, -40.089417]Pre:nullrot:[0.5036888, -0.19152622, -0.29987884, 0.78720266, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297793233351Acc:[-0.21218872, 8.962692, 3.4536285]Gyro:[0.116256714, 0.038879395, -0.0043182373]Mag:[-36.987305, 12.580872, -40.089417]Pre:nullrot:[0.5036888, -0.19152622, -0.29987884, 0.78720266, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297856954054Acc:[-0.16908264, 8.924393, 3.760086]Gyro:[0.116256714, 0.038879395, -0.0043182373]Mag:[-36.987305, 12.580872, -40.089417]Pre:nullrot:[0.5036888, -0.19152622, -0.29987884, 0.78720266, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297856496291Acc:[-0.16908264, 8.924393, 3.760086]Gyro:[0.116256714, 0.038879395, -0.0043182373]Mag:[-36.38611, 10.780334, -39.564514]Pre:nullrot:[0.5036888, -0.19152622, -0.29987884, 0.78720266, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297856496291Acc:[-0.16908264, 8.924393, 3.760086]Gyro:[0.12719727, 0.04260254, -0.010650635]Mag:[-36.38611, 10.780334, -39.564514]Pre:nullrot:[0.5036888, -0.19152622, -0.29987884, 0.78720266, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297856496291Acc:[-0.16908264, 8.924393, 3.760086]Gyro:[0.12719727, 0.04260254, -0.010650635]Mag:[-36.38611, 10.780334, -39.564514]Pre:nullrot:[0.5036795, -0.19155067, -0.29991707, 0.78718805, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789297920766310Acc:[-0.09246826, 8.857361, 3.9947357]Gyro:[0.12719727, 0.04260254, -0.010650635]Mag:[-36.38611, 10.780334, -39.564514]Pre:nullrot:[0.5036795, -0.19155067, -0.29991707, 0.78718805, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
