time:789291624020738Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414249173325Acc:[-2.2376862, 6.6067963, 9.300278]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414312863511Acc:[-0.81552124, 5.984314, 8.826233]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414376797837Acc:[-1.3901367, 5.6395416, 7.605179]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414440549058Acc:[0.7694397, 5.6586914, 6.22612]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414504147691Acc:[0.8843689, 5.9795227, 6.22612]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414568173570Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789414577084702Acc:[-1.0166321, 7.1957703, 7.4375916]Gyro:nullMag:[-39.987183, 29.53186, -50.663757]Pre:nullrot:nullMot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416545834702Acc:[-0.08288574, 6.0896606, 7.0114136]Gyro:[0.04109192, 0.028381348, -0.011489868]Mag:[-42.012024, 29.156494, -50.889587]Pre:nullrot:[0.30990514, -0.11873094, -0.28134292, 0.9003932, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416609677476Acc:[0.1517334, 5.716156, 7.4854736]Gyro:[0.04109192, 0.028381348, -0.011489868]Mag:[-42.012024, 29.156494, -50.889587]Pre:nullrot:[0.30990514, -0.11873094, -0.28134292, 0.9003932, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416591244859Acc:[0.1517334, 5.716156, 7.4854736]Gyro:[0.04109192, 0.028381348, -0.011489868]Mag:[-42.012024, 29.156494, -50.889587]Pre:nullrot:[0.32441077, -0.107802, -0.2881453, 0.8944879, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416591244859Acc:[0.1517334, 5.716156, 7.4854736]Gyro:[0.04109192, 0.028381348, -0.011489868]Mag:[-41.862488, 27.131653, -50.81482]Pre:nullrot:[0.32441077, -0.107802, -0.2881453, 0.8944879, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416591244859Acc:[0.1517334, 5.716156, 7.4854736]Gyro:[0.040771484, 0.027542114, -0.012313843]Mag:[-41.862488, 27.131653, -50.81482]Pre:nullrot:[0.32441077, -0.107802, -0.2881453, 0.8944879, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416673459214Acc:[0.022445679, 5.9555817, 7.2077484]Gyro:[0.040771484, 0.027542114, -0.012313843]Mag:[-41.862488, 27.131653, -50.81482]Pre:nullrot:[0.32441077, -0.107802, -0.2881453, 0.8944879, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416737271470Acc:[1.7606354, 6.32428, 8.093597]Gyro:[0.040771484, 0.027542114, -0.012313843]Mag:[-41.862488, 27.131653, -50.81482]Pre:nullrot:[0.32441077, -0.107802, -0.2881453, 0.8944879, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416801083726Acc:[2.454956, 6.2668304, 7.6434937]Gyro:[0.040771484, 0.027542114, -0.012313843]Mag:[-41.862488, 27.131653, -50.81482]Pre:nullrot:[0.32441077, -0.107802, -0.2881453, 0.8944879, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416792691392Acc:[2.454956, 6.2668304, 7.6434937]Gyro:[0.03968811, 0.02720642, -0.01461792]Mag:[-41.862488, 27.131653, -50.81482]Pre:nullrot:[0.32441077, -0.107802, -0.2881453, 0.8944879, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
time:789416792691392Acc:[2.454956, 6.2668304, 7.6434937]Gyro:[0.03968811, 0.02720642, -0.01461792]Mag:[-41.862488, 27.131653, -50.81482]Pre:nullrot:[0.3242265, -0.10835487, -0.28966972, 0.89399546, 0.0]Mot:nullprox:[5.000305, 3.3569336E-4, 0.0]
