time:787979760186076Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:786650109679038Acc:[1.6026306, 4.8207245, 7.4567413]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979824705893Acc:[0.73114014, 4.562149, 8.99382]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979888426596Acc:[0.38157654, 4.5094757, 9.36731]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787979952086264Acc:[0.64494324, 4.3658295, 8.845383]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980015806968Acc:[0.56832886, 4.447235, 8.701721]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980079558188Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980092284018Acc:[0.5731201, 4.418503, 8.491043]Gyro:nullMag:[-39.53705, 33.73108, -47.06421]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980897887046Acc:[0.55397034, 4.8255157, 8.265976]Gyro:[-0.0019989014, -0.010055542, 0.008773804]Mag:[-39.086914, 37.031555, -47.213745]Pre:nullrot:[0.21169083, -0.09489401, -0.29003662, 0.92847234, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787980971525962Acc:[0.5491791, 4.74411, 8.672989]Gyro:[-0.0019989014, -0.010055542, 0.008773804]Mag:[-39.086914, 37.031555, -47.213745]Pre:nullrot:[0.21169083, -0.09489401, -0.29003662, 0.92847234, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981035216147Acc:[0.2379303, 4.7249603, 8.77356]Gyro:[-0.0019989014, -0.010055542, 0.008773804]Mag:[-39.086914, 37.031555, -47.213745]Pre:nullrot:[0.21169083, -0.09489401, -0.29003662, 0.92847234, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981098936850Acc:[0.39595032, 4.9548035, 8.175003]Gyro:[-0.0019989014, -0.010055542, 0.008773804]Mag:[-39.086914, 37.031555, -47.213745]Pre:nullrot:[0.21169083, -0.09489401, -0.29003662, 0.92847234, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981099303061Acc:[0.39595032, 4.9548035, 8.175003]Gyro:[-0.0019989014, -0.010055542, 0.008773804]Mag:[-39.161682, 36.35559, -47.213745]Pre:nullrot:[0.21169083, -0.09489401, -0.29003662, 0.92847234, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981099303061Acc:[0.39595032, 4.9548035, 8.175003]Gyro:[-0.0019989014, -0.010055542, 0.008773804]Mag:[-39.161682, 36.35559, -47.213745]Pre:nullrot:[0.22233663, -0.10033623, -0.28516972, 0.92691815, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981099303061Acc:[0.39595032, 4.9548035, 8.175003]Gyro:[-9.765625E-4, -0.018295288, 0.014511108]Mag:[-39.161682, 36.35559, -47.213745]Pre:nullrot:[0.22233663, -0.10033623, -0.28516972, 0.92691815, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981162627036Acc:[0.40072632, 4.8398895, 8.69693]Gyro:[-9.765625E-4, -0.018295288, 0.014511108]Mag:[-39.161682, 36.35559, -47.213745]Pre:nullrot:[0.22233663, -0.10033623, -0.28516972, 0.92691815, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981225828940Acc:[0.209198, 4.9739532, 8.2994995]Gyro:[-9.765625E-4, -0.018295288, 0.014511108]Mag:[-39.161682, 36.35559, -47.213745]Pre:nullrot:[0.22233663, -0.10033623, -0.28516972, 0.92691815, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:787981290098960Acc:[0.16610718, 5.199005, 8.270767]Gyro:[-9.765625E-4, -0.018295288, 0.014511108]Mag:[-39.161682, 36.35559, -47.213745]Pre:nullrot:[0.22233663, -0.10033623, -0.28516972, 0.92691815, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
