time:789679029694623Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717613434857Acc:[2.3113098, 6.6786194, 6.2787933]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717677216595Acc:[2.2107544, 6.645111, 6.7576294]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717740967816Acc:[2.158081, 6.716934, 6.8725586]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717804810589Acc:[2.0718842, 6.7073517, 7.0497284]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717868592328Acc:[2.1293488, 6.6594696, 6.6858063]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717931824750Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789717909302777Acc:[1.9904785, 6.6067963, 6.9443817]Gyro:nullMag:[-40.512085, 21.731567, -46.614075]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718761689252Acc:[1.3823547, 6.712143, 6.795944]Gyro:[0.052963257, -0.005783081, -0.009155273]Mag:[-36.236572, 19.107056, -45.939636]Pre:nullrot:[0.32274142, -0.20793782, -0.25542137, 0.887333, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718825501507Acc:[1.6409302, 6.46315, 7.3226624]Gyro:[0.052963257, -0.005783081, -0.009155273]Mag:[-36.236572, 19.107056, -45.939636]Pre:nullrot:[0.32274142, -0.20793782, -0.25542137, 0.887333, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718889313763Acc:[1.5930481, 6.534973, 6.9874725]Gyro:[0.052963257, -0.005783081, -0.009155273]Mag:[-36.236572, 19.107056, -45.939636]Pre:nullrot:[0.32274142, -0.20793782, -0.25542137, 0.887333, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718916718548Acc:[1.5930481, 6.534973, 6.9874725]Gyro:[0.052963257, -0.005783081, -0.009155273]Mag:[-36.236572, 19.107056, -45.939636]Pre:nullrot:[0.32522368, -0.1933489, -0.26913047, 0.8856718, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718916718548Acc:[1.5930481, 6.534973, 6.9874725]Gyro:[0.052963257, -0.005783081, -0.009155273]Mag:[-35.487366, 18.881226, -46.089172]Pre:nullrot:[0.32522368, -0.1933489, -0.26913047, 0.8856718, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718916718548Acc:[1.5930481, 6.534973, 6.9874725]Gyro:[0.063308716, -0.00340271, -0.013763428]Mag:[-35.487366, 18.881226, -46.089172]Pre:nullrot:[0.32522368, -0.1933489, -0.26913047, 0.8856718, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789718953095502Acc:[1.679245, 6.396118, 7.126343]Gyro:[0.063308716, -0.00340271, -0.013763428]Mag:[-35.487366, 18.881226, -46.089172]Pre:nullrot:[0.32522368, -0.1933489, -0.26913047, 0.8856718, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719016907757Acc:[1.66008, 6.439209, 7.3274536]Gyro:[0.063308716, -0.00340271, -0.013763428]Mag:[-35.487366, 18.881226, -46.089172]Pre:nullrot:[0.32522368, -0.1933489, -0.26913047, 0.8856718, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719080689496Acc:[1.7127533, 6.3386536, 7.3274536]Gyro:[0.063308716, -0.00340271, -0.013763428]Mag:[-35.487366, 18.881226, -46.089172]Pre:nullrot:[0.32522368, -0.1933489, -0.26913047, 0.8856718, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:789719143952435Acc:[1.7750092, 6.3338623, 7.289139]Gyro:[0.063308716, -0.00340271, -0.013763428]Mag:[-35.487366, 18.881226, -46.089172]Pre:nullrot:[0.32522368, -0.1933489, -0.26913047, 0.8856718, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
