time:790259264655678Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790047673356162Acc:[0.7359314, 5.012268, 8.1414795]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259328751670Acc:[0.6497345, 4.9787445, 8.65863]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259392533409Acc:[0.7263489, 4.926071, 8.414429]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259456254112Acc:[0.45819092, 5.141556, 8.333023]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259519974815Acc:[0.5443878, 5.0026855, 8.352173]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259583756553Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790259617966758Acc:[0.33369446, 5.1176147, 8.380905]Gyro:nullMag:nullPre:nullrot:[0.23457617, -0.124451645, -0.3411449, 0.90172386, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260423630821Acc:[-0.0062713623, 5.299576, 8.213303]Gyro:[0.046829224, 0.086380005, -0.08932495]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.25314388, -0.10954844, -0.34431303, 0.8974218, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260476121055Acc:[0.008087158, 5.242111, 8.337814]Gyro:[0.046829224, 0.086380005, -0.08932495]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.25314388, -0.10954844, -0.34431303, 0.8974218, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260539841758Acc:[0.1804657, 5.242111, 8.28035]Gyro:[0.046829224, 0.086380005, -0.08932495]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.25314388, -0.10954844, -0.34431303, 0.8974218, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260603654014Acc:[0.1804657, 5.170288, 8.318649]Gyro:[0.046829224, 0.086380005, -0.08932495]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.25314388, -0.10954844, -0.34431303, 0.8974218, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260625046836Acc:[0.1804657, 5.170288, 8.318649]Gyro:[0.046829224, 0.086380005, -0.08932495]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.25718328, -0.104367115, -0.34671226, 0.8959659, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260625046836Acc:[0.1804657, 5.170288, 8.318649]Gyro:[0.04547119, 0.08128357, -0.08139038]Mag:[-40.586853, 31.330872, -35.88867]Pre:nullrot:[0.25718328, -0.104367115, -0.34671226, 0.8959659, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260625046836Acc:[0.1804657, 5.170288, 8.318649]Gyro:[0.04547119, 0.08128357, -0.08139038]Mag:[-40.586853, 31.330872, -35.96344]Pre:nullrot:[0.25718328, -0.104367115, -0.34671226, 0.8959659, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260667344200Acc:[0.09906006, 5.222946, 8.270767]Gyro:[0.04547119, 0.08128357, -0.08139038]Mag:[-40.586853, 31.330872, -35.96344]Pre:nullrot:[0.25718328, -0.104367115, -0.34671226, 0.8959659, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260731125938Acc:[0.12301636, 5.2469025, 8.265976]Gyro:[0.04547119, 0.08128357, -0.08139038]Mag:[-40.586853, 31.330872, -35.96344]Pre:nullrot:[0.25718328, -0.104367115, -0.34671226, 0.8959659, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
time:790260794846641Acc:[0.2379303, 5.189438, 8.309082]Gyro:[0.04547119, 0.08128357, -0.08139038]Mag:[-40.586853, 31.330872, -35.96344]Pre:nullrot:[0.25718328, -0.104367115, -0.34671226, 0.8959659, 0.0]Mot:nullprox:[5.000305, 3.2043457E-4, 0.0]
