time:241671152064Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[8.0]
time:241716925449Acc:nullGyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:241668708522Acc:[0.4747498, 3.613892, 8.8201]Gyro:nullMag:nullPre:[990.021]rot:nullMot:nullprox:[8.0]
time:242858023730Acc:[0.10869209, 3.7084591, 8.938607]Gyro:[-0.038343553, -0.13713884, 0.036953557]Mag:[18.414114, -10.827338, -134.90323]Pre:[989.99854]rot:[0.18775558, 0.03821541, 0.26557085, 0.94485956, 0.0]Mot:nullprox:[8.0]
time:242664639824Acc:[0.10869209, 3.7084591, 8.938607]Gyro:[-0.038343553, -0.13713884, 0.036953557]Mag:[18.414114, -10.827338, -134.90323]Pre:[989.99854]rot:[0.1899472, 0.04149628, 0.27566746, 0.9413849, 0.0]Mot:nullprox:[8.0]
time:242956500501Acc:[0.10869209, 3.7084591, 8.938607]Gyro:[-0.038343553, -0.13713884, 0.036953557]Mag:[17.744995, -10.759989, -133.84013]Pre:[989.99854]rot:[0.1899472, 0.04149628, 0.27566746, 0.9413849, 0.0]Mot:nullprox:[8.0]
time:243016925449Acc:[0.10869209, 3.7084591, 8.938607]Gyro:[-0.038343553, -0.13713884, 0.036953557]Mag:[17.744995, -10.759989, -133.84013]Pre:[989.99634]rot:[0.1899472, 0.04149628, 0.27566746, 0.9413849, 0.0]Mot:nullprox:[8.0]
time:243116925449Acc:[0.10869209, 3.7084591, 8.938607]Gyro:[-0.038343553, -0.13713884, 0.036953557]Mag:[17.744995, -10.759989, -133.84013]Pre:[989.9851]rot:[0.1899472, 0.04149628, 0.27566746, 0.9413849, 0.0]Mot:nullprox:[8.0]
time:243022401178Acc:[0.32320333, 3.7369487, 9.118643]Gyro:[-0.038343553, -0.13713884, 0.036953557]Mag:[17.744995, -10.759989, -133.84013]Pre:[989.9851]rot:[0.1899472, 0.04149628, 0.27566746, 0.9413849, 0.0]Mot:nullprox:[8.0]
time:243051409251Acc:[0.32320333, 3.7369487, 9.118643]Gyro:[-0.028386459, 0.021380557, 0.014534824]Mag:[17.744995, -10.759989, -133.84013]Pre:[989.9851]rot:[0.1899472, 0.04149628, 0.27566746, 0.9413849, 0.0]Mot:nullprox:[8.0]
time:242858023730Acc:[0.32320333, 3.7369487, 9.118643]Gyro:[-0.028386459, 0.021380557, 0.014534824]Mag:[17.744995, -10.759989, -133.84013]Pre:[989.9851]rot:[0.1906383, 0.031016564, 0.25639558, 0.94707775, 0.0]Mot:nullprox:[8.0]
time:243156500501Acc:[0.32320333, 3.7369487, 9.118643]Gyro:[-0.028386459, 0.021380557, 0.014534824]Mag:[16.688812, -10.046019, -134.72873]Pre:[989.9851]rot:[0.1906383, 0.031016564, 0.25639558, 0.94707775, 0.0]Mot:nullprox:[8.0]
time:243216925449Acc:[0.32320333, 3.7369487, 9.118643]Gyro:[-0.028386459, 0.021380557, 0.014534824]Mag:[16.688812, -10.046019, -134.72873]Pre:[989.9866]rot:[0.1906383, 0.031016564, 0.25639558, 0.94707775, 0.0]Mot:nullprox:[8.0]
time:243215785866Acc:[0.2810672, 3.6842785, 9.145458]Gyro:[-0.028386459, 0.021380557, 0.014534824]Mag:[16.688812, -10.046019, -134.72873]Pre:[989.9866]rot:[0.1906383, 0.031016564, 0.25639558, 0.94707775, 0.0]Mot:nullprox:[8.0]
time:243316925449Acc:[0.2810672, 3.6842785, 9.145458]Gyro:[-0.028386459, 0.021380557, 0.014534824]Mag:[16.688812, -10.046019, -134.72873]Pre:[989.98486]rot:[0.1906383, 0.031016564, 0.25639558, 0.94707775, 0.0]Mot:nullprox:[8.0]
time:243244793157Acc:[0.2810672, 3.6842785, 9.145458]Gyro:[0.21467662, 0.081000954, 0.06627507]Mag:[16.688812, -10.046019, -134.72873]Pre:[989.98486]rot:[0.1906383, 0.031016564, 0.25639558, 0.94707775, 0.0]Mot:nullprox:[8.0]
time:243051409251Acc:[0.2810672, 3.6842785, 9.145458]Gyro:[0.21467662, 0.081000954, 0.06627507]Mag:[16.688812, -10.046019, -134.72873]Pre:[989.98486]rot:[0.18834642, 0.033994626, 0.24638379, 0.95008683, 0.0]Mot:nullprox:[8.0]
time:243356500501Acc:[0.2810672, 3.6842785, 9.145458]Gyro:[0.21467662, 0.081000954, 0.06627507]Mag:[17.424175, -12.1827755, -134.27911]Pre:[989.98486]rot:[0.18834642, 0.033994626, 0.24638379, 0.95008683, 0.0]Mot:nullprox:[8.0]
time:243416925449Acc:[0.2810672, 3.6842785, 9.145458]Gyro:[0.21467662, 0.081000954, 0.06627507]Mag:[17.424175, -12.1827755, -134.27911]Pre:[989.9822]rot:[0.18834642, 0.033994626, 0.24638379, 0.95008683, 0.0]Mot:nullprox:[8.0]
time:243409170605Acc:[0.23701575, 4.1731534, 8.773415]Gyro:[0.21467662, 0.081000954, 0.06627507]Mag:[17.424175, -12.1827755, -134.27911]Pre:[989.9822]rot:[0.18834642, 0.033994626, 0.24638379, 0.95008683, 0.0]Mot:nullprox:[8.0]
time:243516925449Acc:[0.23701575, 4.1731534, 8.773415]Gyro:[0.21467662, 0.081000954, 0.06627507]Mag:[17.424175, -12.1827755, -134.27911]Pre:[989.9851]rot:[0.18834642, 0.033994626, 0.24638379, 0.95008683, 0.0]Mot:nullprox:[8.0]
time:243438178678Acc:[0.23701575, 4.1731534, 8.773415]Gyro:[0.0019124374, 0.017165588, 0.06505334]Mag:[17.424175, -12.1827755, -134.27911]Pre:[989.9851]rot:[0.18834642, 0.033994626, 0.24638379, 0.95008683, 0.0]Mot:nullprox:[8.0]
time:243244793157Acc:[0.23701575, 4.1731534, 8.773415]Gyro:[0.0019124374, 0.017165588, 0.06505334]Mag:[17.424175, -12.1827755, -134.27911]Pre:[989.9851]rot:[0.20010942, 0.04402659, 0.27081224, 0.9405736, 0.0]Mot:nullprox:[8.0]
time:243556500501Acc:[0.23701575, 4.1731534, 8.773415]Gyro:[0.0019124374, 0.017165588, 0.06505334]Mag:[18.691921, -13.125451, -134.82135]Pre:[989.9851]rot:[0.20010942, 0.04402659, 0.27081224, 0.9405736, 0.0]Mot:nullprox:[8.0]
time:243616925449Acc:[0.23701575, 4.1731534, 8.773415]Gyro:[0.0019124374, 0.017165588, 0.06505334]Mag:[18.691921, -13.125451, -134.82135]Pre:[989.98755]rot:[0.20010942, 0.04402659, 0.27081224, 0.9405736, 0.0]Mot:nullprox:[8.0]
time:243602555293Acc:[0.1987102, 4.066616, 8.825127]Gyro:[0.0019124374, 0.017165588, 0.06505334]Mag:[18.691921, -13.125451, -134.82135]Pre:[989.98755]rot:[0.20010942, 0.04402659, 0.27081224, 0.9405736, 0.0]Mot:nullprox:[8.0]
time:243716925449Acc:[0.1987102, 4.066616, 8.825127]Gyro:[0.0019124374, 0.017165588, 0.06505334]Mag:[18.691921, -13.125451, -134.82135]Pre:[989.9863]rot:[0.20010942, 0.04402659, 0.27081224, 0.9405736, 0.0]Mot:nullprox:[8.0]
time:243631562585Acc:[0.1987102, 4.066616, 8.825127]Gyro:[-0.048361734, -0.07696866, -0.0512553]Mag:[18.691921, -13.125451, -134.82135]Pre:[989.9863]rot:[0.20010942, 0.04402659, 0.27081224, 0.9405736, 0.0]Mot:nullprox:[8.0]
