time:786650109682437Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141291597720Acc:[1.3201141, 5.467163, 7.6003876]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141355318423Acc:[1.2817993, 5.3378754, 9.008194]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141418886538Acc:[1.3919373, 5.2660522, 8.720886]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141482424136Acc:[1.2147675, 5.3187256, 8.160645]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141546541568Acc:[1.1237793, 5.371399, 8.146271]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141610262271Acc:[1.0519562, 5.4049225, 8.031357]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788141627870913Acc:[1.0519562, 5.4049225, 8.031357]Gyro:nullMag:[-41.186523, 32.23114, -47.66388]Pre:nullrot:nullMot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142629558390Acc:[0.99928284, 5.57251, 7.949951]Gyro:[-0.019760132, 0.0015258789, 0.0015563965]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142635906046Acc:[0.99928284, 5.57251, 7.949951]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.25176093, -0.14298339, -0.28189278, 0.9147178, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142635906046Acc:[0.99928284, 5.57251, 7.949951]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.686462, 32.081604, -47.964478]Pre:nullrot:[0.26404992, -0.14001226, -0.28318167, 0.91130805, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142635906046Acc:[0.99928284, 5.57251, 7.949951]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.762756, 32.081604, -47.964478]Pre:nullrot:[0.26404992, -0.14001226, -0.28318167, 0.91130805, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142692973917Acc:[0.9849243, 5.558136, 8.050507]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.762756, 32.081604, -47.964478]Pre:nullrot:[0.26404992, -0.14001226, -0.28318167, 0.91130805, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142757335489Acc:[0.9849243, 5.5246277, 8.021774]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.762756, 32.081604, -47.964478]Pre:nullrot:[0.26404992, -0.14001226, -0.28318167, 0.91130805, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142821056193Acc:[0.98013306, 5.649124, 7.8876953]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.762756, 32.081604, -47.964478]Pre:nullrot:[0.26404992, -0.14001226, -0.28318167, 0.91130805, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142836376017Acc:[0.98013306, 5.649124, 7.8876953]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.611694, 31.706238, -47.81494]Pre:nullrot:[0.26404992, -0.14001226, -0.28318167, 0.91130805, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142836376017Acc:[0.98013306, 5.649124, 7.8876953]Gyro:[-0.027877808, 0.0043945312, 0.004119873]Mag:[-42.611694, 31.706238, -47.81494]Pre:nullrot:[0.2640497, -0.14001265, -0.28318304, 0.91130763, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
time:788142836376017Acc:[0.98013306, 5.649124, 7.8876953]Gyro:[-0.04058838, 0.006790161, 0.0059814453]Mag:[-42.611694, 31.706238, -47.81494]Pre:nullrot:[0.2640497, -0.14001265, -0.28318304, 0.91130763, 0.0]Mot:nullprox:[5.000305, 2.89917E-4, 0.0]
