time:790643479104174Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424020606Acc:[0.7359314, 7.870941, 5.3546295]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643542795020Acc:[0.45819092, 8.076843, 5.431244]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643606271583Acc:[0.67367554, 7.8565826, 5.7999573]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643670846778Acc:[0.6880493, 7.8996735, 5.6515045]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643734628516Acc:[0.71676636, 7.9188232, 5.5605316]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643798410255Acc:[0.6688843, 7.957138, 5.550949]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790643819009620Acc:[0.6688843, 7.957138, 5.550949]Gyro:[-0.007461548, -0.0025939941, 0.007080078]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645027505714Acc:[0.6880493, 7.957138, 5.5557404]Gyro:[0.007446289, 0.011383057, -0.010772705]Mag:[-31.58722, 13.931274, -39.338684]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645027505714Acc:[0.6880493, 7.957138, 5.5557404]Gyro:[0.015899658, 0.011779785, -0.013153076]Mag:[-31.58722, 13.931274, -39.338684]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645027505714Acc:[0.6880493, 7.957138, 5.5557404]Gyro:[0.015899658, 0.011779785, -0.013153076]Mag:[-31.286621, 13.856506, -39.413452]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645073861915Acc:[0.68325806, 7.9475555, 5.6084137]Gyro:[0.015899658, 0.011779785, -0.013153076]Mag:[-31.286621, 13.856506, -39.413452]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645137582618Acc:[0.640152, 7.981079, 5.5509644]Gyro:[0.015899658, 0.011779785, -0.013153076]Mag:[-31.286621, 13.856506, -39.413452]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645201364356Acc:[0.7071991, 7.952347, 5.6084137]Gyro:[0.015899658, 0.011779785, -0.013153076]Mag:[-31.286621, 13.856506, -39.413452]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645228921729Acc:[0.7071991, 7.952347, 5.6084137]Gyro:[0.015899658, 0.011779785, -0.013153076]Mag:[-30.236816, 12.956238, -39.413452]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645228921729Acc:[0.7071991, 7.952347, 5.6084137]Gyro:[0.023712158, 0.010360718, -0.016189575]Mag:[-30.236816, 12.956238, -39.413452]Pre:nullrot:[0.4259354, -0.177405, -0.26858205, 0.8455591, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645228921729Acc:[0.7071991, 7.952347, 5.6084137]Gyro:[0.023712158, 0.010360718, -0.016189575]Mag:[-30.236816, 12.956238, -39.413452]Pre:nullrot:[0.42654228, -0.17729662, -0.26862773, 0.84526134, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790645265176612Acc:[0.6784668, 7.9236145, 5.594055]Gyro:[0.023712158, 0.010360718, -0.016189575]Mag:[-30.236816, 12.956238, -39.413452]Pre:nullrot:[0.42654228, -0.17729662, -0.26862773, 0.84526134, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
