time:790526880849276Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:null
time:790281424032740Acc:[-1.9120636, 5.9029083, 7.6387024]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790526945425562Acc:[-2.2855682, 5.462372, 7.7823486]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527009146266Acc:[-2.3478088, 4.897339, 7.0353546]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527072897486Acc:[-2.9703064, 4.1886597, 8.969879]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527136648707Acc:[-3.080429, 4.0737457, 8.0026245]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527200430445Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790527199148707Acc:[-0.3510437, 4.2461243, 9.946701]Gyro:[0.014083862, 0.012832642, 0.0032653809]Mag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528004477076Acc:[-1.7492676, 5.3139343, 7.7536316]Gyro:[-0.0032196045, 0.02130127, 0.017715454]Mag:[-29.26178, 37.405396, -49.014282]Pre:nullrot:[0.27504772, 0.01860536, -0.27407575, 0.9213496, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528093039088Acc:[-1.8402405, 5.2469025, 8.289917]Gyro:[-0.0032196045, 0.02130127, 0.017715454]Mag:[-29.26178, 37.405396, -49.014282]Pre:nullrot:[0.27504772, 0.01860536, -0.27407575, 0.9213496, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528156790308Acc:[-1.6151886, 5.285202, 8.0074005]Gyro:[-0.0032196045, 0.02130127, 0.017715454]Mag:[-29.26178, 37.405396, -49.014282]Pre:nullrot:[0.27504772, 0.01860536, -0.27407575, 0.9213496, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528220511012Acc:[-1.7588348, 5.5198364, 8.098389]Gyro:[-0.0032196045, 0.02130127, 0.017715454]Mag:[-29.26178, 37.405396, -49.014282]Pre:nullrot:[0.27504772, 0.01860536, -0.27407575, 0.9213496, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528206228785Acc:[-1.7588348, 5.5198364, 8.098389]Gyro:[-0.0032196045, 0.02130127, 0.017715454]Mag:[-29.26178, 37.405396, -49.014282]Pre:nullrot:[0.30255654, 0.017682543, -0.26865542, 0.91431457, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528206228785Acc:[-1.7588348, 5.5198364, 8.098389]Gyro:[-0.0032196045, 0.02130127, 0.017715454]Mag:[-28.811646, 36.65619, -48.939514]Pre:nullrot:[0.30255654, 0.017682543, -0.26865542, 0.91431457, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528206228785Acc:[-1.7588348, 5.5198364, 8.098389]Gyro:[-0.0042419434, 0.026519775, 0.021377563]Mag:[-28.811646, 36.65619, -48.939514]Pre:nullrot:[0.30255654, 0.017682543, -0.26865542, 0.91431457, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528284292750Acc:[-1.4380188, 5.170288, 8.400055]Gyro:[-0.0042419434, 0.026519775, 0.021377563]Mag:[-28.811646, 36.65619, -48.939514]Pre:nullrot:[0.30255654, 0.017682543, -0.26865542, 0.91431457, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528348074488Acc:[-1.2704163, 5.012268, 8.112762]Gyro:[-0.0042419434, 0.026519775, 0.021377563]Mag:[-28.811646, 36.65619, -48.939514]Pre:nullrot:[0.30255654, 0.017682543, -0.26865542, 0.91431457, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528411825709Acc:[-1.3087311, 5.1798553, 7.9978333]Gyro:[-0.0042419434, 0.026519775, 0.021377563]Mag:[-28.811646, 36.65619, -48.939514]Pre:nullrot:[0.30255654, 0.017682543, -0.26865542, 0.91431457, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528407675318Acc:[-1.3087311, 5.1798553, 7.9978333]Gyro:[-0.0042419434, 0.026519775, 0.021377563]Mag:[-28.736877, 34.33075, -49.16382]Pre:nullrot:[0.30255654, 0.017682543, -0.26865542, 0.91431457, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528407675318Acc:[-1.3087311, 5.1798553, 7.9978333]Gyro:[-0.0042419434, 0.026519775, 0.021377563]Mag:[-28.736877, 34.33075, -49.16382]Pre:nullrot:[0.2976177, 0.010016648, -0.26542476, 0.9169913, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528407675318Acc:[-1.3087311, 5.1798553, 7.9978333]Gyro:[-0.0048217773, 0.029785156, 0.024276733]Mag:[-28.736877, 34.33075, -49.16382]Pre:nullrot:[0.2976177, 0.010016648, -0.26542476, 0.9169913, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528475546412Acc:[-1.150711, 5.1176147, 8.270767]Gyro:[-0.0048217773, 0.029785156, 0.024276733]Mag:[-28.736877, 34.33075, -49.16382]Pre:nullrot:[0.2976177, 0.010016648, -0.26542476, 0.9169913, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528539328150Acc:[-1.1123962, 5.0984497, 8.50061]Gyro:[-0.0048217773, 0.029785156, 0.024276733]Mag:[-28.736877, 34.33075, -49.16382]Pre:nullrot:[0.2976177, 0.010016648, -0.26542476, 0.9169913, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528603109889Acc:[-0.72454834, 4.8159485, 8.294708]Gyro:[-0.0048217773, 0.029785156, 0.024276733]Mag:[-28.736877, 34.33075, -49.16382]Pre:nullrot:[0.2976177, 0.010016648, -0.26542476, 0.9169913, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528609060816Acc:[-0.72454834, 4.8159485, 8.294708]Gyro:[-0.0048217773, 0.029785156, 0.024276733]Mag:[-29.336548, 33.506775, -49.08905]Pre:nullrot:[0.2976177, 0.010016648, -0.26542476, 0.9169913, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528609060816Acc:[-0.72454834, 4.8159485, 8.294708]Gyro:[-0.0048217773, 0.029785156, 0.024276733]Mag:[-29.336548, 33.506775, -49.08905]Pre:nullrot:[0.28718457, -0.0019781291, -0.2605155, 0.9217661, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528609060816Acc:[-0.72454834, 4.8159485, 8.294708]Gyro:[-0.004837036, 0.029769897, 0.02696228]Mag:[-29.336548, 33.506775, -49.08905]Pre:nullrot:[0.28718457, -0.0019781291, -0.2605155, 0.9217661, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528666861109Acc:[-0.28401184, 4.873398, 8.222885]Gyro:[-0.004837036, 0.029769897, 0.02696228]Mag:[-29.336548, 33.506775, -49.08905]Pre:nullrot:[0.28718457, -0.0019781291, -0.2605155, 0.9217661, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528730734400Acc:[-1.0884705, 5.9316406, 7.447159]Gyro:[-0.004837036, 0.029769897, 0.02696228]Mag:[-29.336548, 33.506775, -49.08905]Pre:nullrot:[0.28718457, -0.0019781291, -0.2605155, 0.9217661, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528794363551Acc:[-2.0605164, 6.9228363, 7.092819]Gyro:[-0.004837036, 0.029769897, 0.02696228]Mag:[-29.336548, 33.506775, -49.08905]Pre:nullrot:[0.28718457, -0.0019781291, -0.2605155, 0.9217661, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528810476832Acc:[-2.0605164, 6.9228363, 7.092819]Gyro:[-0.004837036, 0.029769897, 0.02696228]Mag:[-29.336548, 33.506775, -49.08905]Pre:nullrot:[0.2723708, -0.020835, -0.25178218, 0.92843187, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528810476832Acc:[-2.0605164, 6.9228363, 7.092819]Gyro:[-0.004837036, 0.029769897, 0.02696228]Mag:[-29.637146, 31.106567, -49.014282]Pre:nullrot:[0.2723708, -0.020835, -0.25178218, 0.92843187, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528810476832Acc:[-2.0605164, 6.9228363, 7.092819]Gyro:[-0.0045166016, 0.026290894, 0.02960205]Mag:[-29.637146, 31.106567, -49.014282]Pre:nullrot:[0.2723708, -0.020835, -0.25178218, 0.92843187, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528858114771Acc:[-2.2759857, 7.6937714, 6.159088]Gyro:[-0.0045166016, 0.026290894, 0.02960205]Mag:[-29.637146, 31.106567, -49.014282]Pre:nullrot:[0.2723708, -0.020835, -0.25178218, 0.92843187, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528921896510Acc:[-1.6487122, 6.549347, 7.088028]Gyro:[-0.0045166016, 0.026290894, 0.02960205]Mag:[-29.637146, 31.106567, -49.014282]Pre:nullrot:[0.2723708, -0.020835, -0.25178218, 0.92843187, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790528985647730Acc:[-1.3231049, 6.257248, 7.126343]Gyro:[-0.0045166016, 0.026290894, 0.02960205]Mag:[-29.637146, 31.106567, -49.014282]Pre:nullrot:[0.2723708, -0.020835, -0.25178218, 0.92843187, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529011923365Acc:[-1.3231049, 6.257248, 7.126343]Gyro:[-0.0045166016, 0.026290894, 0.02960205]Mag:[-29.486084, 27.281189, -48.41461]Pre:nullrot:[0.2723708, -0.020835, -0.25178218, 0.92843187, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:790529011923365Acc:[-1.3231049, 6.257248, 7.126343]Gyro:[-0.0045166016, 0.026290894, 0.02960205]Mag:[-29.486084, 27.281189, -48.41461]Pre:nullrot:[0.35181904, -0.009313576, -0.24777028, 0.9026331, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
