time:788813733151533Acc:nullGyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940913571455Acc:[-2.68779, 2.9436798, 8.912415]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788940976956465Acc:[-2.1036072, 0.108947754, 9.68335]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941041043379Acc:[-2.1802216, -0.2741394, 12.723984]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941104794599Acc:[-1.6103973, 0.7266388, 8.936356]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941168545820Acc:[-1.9599609, 1.4161682, 9.836578]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941232327558Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:nullPre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788941249478437Acc:[-0.82510376, 0.7936859, 8.941147]Gyro:nullMag:[-38.86261, 57.806396, -49.31488]Pre:nullrot:nullMot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942699213616Acc:[1.7366943, 3.2405548, 9.649826]Gyro:[-0.0014190674, 0.07652283, -0.018218994]Mag:[-48.23761, 48.506165, -52.01416]Pre:nullrot:[0.13296731, -0.027802432, -0.26031947, 0.95591867, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942762415520Acc:[1.9617615, 2.9340973, 8.850159]Gyro:[-0.0014190674, 0.07652283, -0.018218994]Mag:[-48.23761, 48.506165, -52.01416]Pre:nullrot:[0.13296731, -0.027802432, -0.26031947, 0.95591867, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942826197259Acc:[1.2387085, 3.015503, 9.621094]Gyro:[-0.0014190674, 0.07652283, -0.018218994]Mag:[-48.23761, 48.506165, -52.01416]Pre:nullrot:[0.13296731, -0.027802432, -0.26031947, 0.95591867, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942860804192Acc:[1.2387085, 3.015503, 9.621094]Gyro:[-0.0014190674, 0.07652283, -0.018218994]Mag:[-48.23761, 48.506165, -52.01416]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942860804192Acc:[1.2387085, 3.015503, 9.621094]Gyro:[-0.0014190674, 0.07652283, -0.018218994]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942860804192Acc:[1.2387085, 3.015503, 9.621094]Gyro:[0.004928589, 0.06364441, -0.012557983]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942889765374Acc:[0.6497345, 2.7042542, 9.6642]Gyro:[0.004928589, 0.06364441, -0.012557983]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788942953730218Acc:[0.6497345, 2.8096008, 9.233231]Gyro:[0.004928589, 0.06364441, -0.012557983]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943017450921Acc:[0.43904114, 2.8766327, 9.429565]Gyro:[0.004928589, 0.06364441, -0.012557983]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
time:788943081202141Acc:[-0.020645142, 2.5510254, 9.352951]Gyro:[0.004928589, 0.06364441, -0.012557983]Mag:[-49.887085, 48.806763, -52.165222]Pre:nullrot:[0.14279817, -0.09168703, -0.2240191, 0.95969665, 0.0]Mot:nullprox:[5.000305, 3.0517578E-4, 0.0]
